사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,"하이브리드
(휘발유+전기)","하이브리드
(경유+전기)","하이브리드
(LPG+전기)","하이브리드
(CNG+전기)",수소,기타연료
서울특별시 종로구 청운동,768 ,212 ,241 ,22 ,9 ,1 ,238 ,,42 ,,1 ,,,2 
서울특별시 종로구 신교동,362 ,92 ,116 ,25 ,3 ,,108 ,,17 ,,,,1 ,
서울특별시 종로구 궁정동,40 ,6 ,12 ,2 ,,,15 ,,5 ,,,,,
서울특별시 종로구 효자동,185 ,60 ,63 ,4 ,1 ,,47 ,,10 ,,,,,
서울특별시 종로구 창성동,162 ,39 ,62 ,2 ,1 ,,51 ,,7 ,,,,,
서울특별시 종로구 통의동,126 ,25 ,44 ,7 ,,,41 ,,8 ,,,,1 ,
서울특별시 종로구 적선동,168 ,40 ,77 ,5 ,1 ,,39 ,,6 ,,,,,
서울특별시 종로구 통인동,190 ,48 ,55 ,13 ,,,64 ,,10 ,,,,,
서울특별시 종로구 누상동,790 ,179 ,254 ,63 ,6 ,,250 ,,35 ,,,,1 ,2 
서울특별시 종로구 누하동,219 ,42 ,94 ,15 ,1 ,,57 ,,10 ,,,,,
서울특별시 종로구 옥인동,591 ,125 ,181 ,30 ,7 ,1 ,203 ,,25 ,,,,1 ,18 
서울특별시 종로구 체부동,158 ,37 ,54 ,12 ,,,47 ,,8 ,,,,,
서울특별시 종로구 필운동,309 ,61 ,117 ,11 ,1 ,,106 ,,12 ,,,,,1 
서울특별시 종로구 내자동,"3,213 ",118 ,"1,851 ",3 ,64 ,,"1,109 ",,56 ,,2 ,,5 ,5 
서울특별시 종로구 사직동,"1,065 ",319 ,299 ,32 ,9 ,1 ,336 ,,64 ,1 ,,,3 ,1 
서울특별시 종로구 도렴동,117 ,22 ,31 ,,,,56 ,,5 ,,2 ,,,1 
서울특별시 종로구 당주동,291 ,75 ,86 ,12 ,1 ,,102 ,,10 ,,,,,5 
서울특별시 종로구 내수동,"1,210 ",373 ,336 ,18 ,11 ,2 ,354 ,,62 ,2 ,,,1 ,51 
서울특별시 종로구 세종로,384 ,49 ,146 ,1 ,14 ,,138 ,,22 ,,1 ,,13 ,
서울특별시 종로구 신문로1가,828 ,124 ,291 ,15 ,8 ,,333 ,2 ,55 ,,,,,
서울특별시 종로구 신문로2가,499 ,81 ,239 ,15 ,14 ,,126 ,,23 ,1 ,,,,
서울특별시 종로구 청진동,237 ,78 ,43 ,4 ,,,102 ,,10 ,,,,,
서울특별시 종로구 서린동,318 ,23 ,176 ,9 ,4 ,,91 ,,9 ,,3 ,,2 ,1 
서울특별시 종로구 수송동,744 ,110 ,340 ,14 ,33 ,,172 ,19 ,28 ,,2 ,,2 ,24 
서울특별시 종로구 중학동,70 ,19 ,24 ,,,,20 ,,5 ,2 ,,,,
서울특별시 종로구 종로1가,287 ,53 ,133 ,15 ,,,77 ,,9 ,,,,,
서울특별시 종로구 공평동,146 ,48 ,29 ,,3 ,,57 ,,8 ,,,,1 ,
서울특별시 종로구 관훈동,165 ,43 ,74 ,5 ,1 ,,34 ,,5 ,,,,1 ,2 
서울특별시 종로구 견지동,231 ,72 ,71 ,6 ,,,67 ,,15 ,,,,,
서울특별시 종로구 와룡동,87 ,19 ,41 ,3 ,1 ,,19 ,,4 ,,,,,
서울특별시 종로구 권농동,67 ,15 ,16 ,11 ,2 ,,22 ,,1 ,,,,,
서울특별시 종로구 운니동,155 ,34 ,90 ,4 ,1 ,,22 ,,4 ,,,,,
서울특별시 종로구 익선동,303 ,81 ,110 ,14 ,,,89 ,,9 ,,,,,
