`regist_ym`|`fuel_knd_nm`|`vhcle_knd_ty`|`vhcle_prpos_se`|`cnt`|`ldadng_dt`
`201710`|`휘발유`|`승용`|`비사업용`|`1581362`|`2018-07-25 13:09:37`
`201710`|`휘발유`|`승용`|`사업용`|`19134`|`2018-07-25 13:09:37`
`201710`|`휘발유`|`승합`|`비사업용`|`1060`|`2018-07-25 13:09:37`
`201710`|`휘발유`|`승합`|`사업용`|`48`|`2018-07-25 13:09:37`
`201710`|`휘발유`|`화물`|`비사업용`|`1716`|`2018-07-25 13:09:37`
`201710`|`휘발유`|`화물`|`사업용`|`2`|`2018-07-25 13:09:37`
`201710`|`휘발유`|`특수`|`비사업용`|`18`|`2018-07-25 13:09:37`
`201710`|`휘발유`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`경유`|`승용`|`비사업용`|`713985`|`2018-07-25 13:09:37`
`201710`|`경유`|`승용`|`사업용`|`11116`|`2018-07-25 13:09:37`
`201710`|`경유`|`승합`|`비사업용`|`90440`|`2018-07-25 13:09:37`
`201710`|`경유`|`승합`|`사업용`|`7350`|`2018-07-25 13:09:37`
`201710`|`경유`|`화물`|`비사업용`|`254490`|`2018-07-25 13:09:37`
`201710`|`경유`|`화물`|`사업용`|`48292`|`2018-07-25 13:09:37`
`201710`|`경유`|`특수`|`비사업용`|`2485`|`2018-07-25 13:09:37`
`201710`|`경유`|`특수`|`사업용`|`4784`|`2018-07-25 13:09:37`
`201710`|`엘피지`|`승용`|`비사업용`|`165828`|`2018-07-25 13:09:37`
`201710`|`엘피지`|`승용`|`사업용`|`86761`|`2018-07-25 13:09:37`
`201710`|`엘피지`|`승합`|`비사업용`|`19981`|`2018-07-25 13:09:37`
`201710`|`엘피지`|`승합`|`사업용`|`72`|`2018-07-25 13:09:37`
`201710`|`엘피지`|`화물`|`비사업용`|`25724`|`2018-07-25 13:09:37`
`201710`|`엘피지`|`화물`|`사업용`|`6187`|`2018-07-25 13:09:37`
`201710`|`엘피지`|`특수`|`비사업용`|`23`|`2018-07-25 13:09:37`
`201710`|`엘피지`|`특수`|`사업용`|`60`|`2018-07-25 13:09:37`
`201710`|`등유`|`승용`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`등유`|`승용`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`등유`|`승합`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`등유`|`승합`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`등유`|`화물`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`등유`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`등유`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`등유`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`전기`|`승용`|`비사업용`|`1771`|`2018-07-25 13:09:37`
`201710`|`전기`|`승용`|`사업용`|`2109`|`2018-07-25 13:09:37`
`201710`|`전기`|`승합`|`비사업용`|`2`|`2018-07-25 13:09:37`
`201710`|`전기`|`승합`|`사업용`|`9`|`2018-07-25 13:09:37`
`201710`|`전기`|`화물`|`비사업용`|`17`|`2018-07-25 13:09:37`
`201710`|`전기`|`화물`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`전기`|`특수`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`전기`|`특수`|`사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`알코올`|`승용`|`비사업용`|`0`|`2018-07-25 13:09:37`
`201710`|`알코올`|`승용`|`사업용`|`0`|`2018-07-25 13:09:37`
