`regist_ym`,`fuel_knd_nm`,`vhcle_knd_ty`,`vhcle_prpos_se`,`cnt`,`ldadng_dt`
202107,휘발유,승용,비사업용,1620931,2021-08-20 11:57:31
202107,휘발유,승용,사업용,21024,2021-08-20 11:57:31
202107,휘발유,승합,비사업용,1087,2021-08-20 11:57:31
202107,휘발유,승합,사업용,87,2021-08-20 11:57:31
202107,휘발유,화물,비사업용,2603,2021-08-20 11:57:31
202107,휘발유,화물,사업용,2,2021-08-20 11:57:31
202107,휘발유,특수,비사업용,18,2021-08-20 11:57:31
202107,휘발유,특수,사업용,0,2021-08-20 11:57:31
202107,경유,승용,비사업용,707365,2021-08-20 11:57:31
202107,경유,승용,사업용,9979,2021-08-20 11:57:31
202107,경유,승합,비사업용,72447,2021-08-20 11:57:31
202107,경유,승합,사업용,5726,2021-08-20 11:57:31
202107,경유,화물,비사업용,242328,2021-08-20 11:57:31
202107,경유,화물,사업용,50780,2021-08-20 11:57:31
202107,경유,특수,비사업용,3943,2021-08-20 11:57:31
202107,경유,특수,사업용,4994,2021-08-20 11:57:31
202107,엘피지,승용,비사업용,138012,2021-08-20 11:57:31
202107,엘피지,승용,사업용,75686,2021-08-20 11:57:31
202107,엘피지,승합,비사업용,12488,2021-08-20 11:57:31
202107,엘피지,승합,사업용,818,2021-08-20 11:57:31
202107,엘피지,화물,비사업용,18144,2021-08-20 11:57:31
202107,엘피지,화물,사업용,5110,2021-08-20 11:57:31
202107,엘피지,특수,비사업용,42,2021-08-20 11:57:31
202107,엘피지,특수,사업용,61,2021-08-20 11:57:31
202107,전기,승용,비사업용,15142,2021-08-20 11:57:31
202107,전기,승용,사업용,10100,2021-08-20 11:57:31
202107,전기,승합,비사업용,21,2021-08-20 11:57:31
202107,전기,승합,사업용,384,2021-08-20 11:57:31
202107,전기,화물,비사업용,2202,2021-08-20 11:57:31
202107,전기,화물,사업용,1455,2021-08-20 11:57:31
202107,전기,특수,비사업용,21,2021-08-20 11:57:31
202107,전기,특수,사업용,0,2021-08-20 11:57:31
202107,태양열,승용,비사업용,0,2021-08-20 11:57:31
202107,태양열,승용,사업용,0,2021-08-20 11:57:31
202107,태양열,승합,비사업용,0,2021-08-20 11:57:31
202107,태양열,승합,사업용,0,2021-08-20 11:57:31
202107,태양열,화물,비사업용,0,2021-08-20 11:57:31
202107,태양열,화물,사업용,0,2021-08-20 11:57:31
202107,태양열,특수,비사업용,0,2021-08-20 11:57:31
202107,태양열,특수,사업용,0,2021-08-20 11:57:31
202107,CNG,승용,비사업용,414,2021-08-20 11:57:31
202107,CNG,승용,사업용,4,2021-08-20 11:57:31
202107,CNG,승합,비사업용,68,2021-08-20 11:57:31
202107,CNG,승합,사업용,8176,2021-08-20 11:57:31
202107,CNG,화물,비사업용,367,2021-08-20 11:57:31
202107,CNG,화물,사업용,1,2021-08-20 11:57:31
202107,CNG,특수,비사업용,1,2021-08-20 11:57:31
202107,CNG,특수,사업용,0,2021-08-20 11:57:31
202107,하이브리드(휘발유+전기),승용,비사업용,121395,2021-08-20 11:57:31
202107,하이브리드(휘발유+전기),승용,사업용,6073,2021-08-20 11:57:31
202107,하이브리드(휘발유+전기),승합,비사업용,0,2021-08-20 11:57:31
202107,하이브리드(휘발유+전기),승합,사업용,0,2021-08-20 11:57:31
202107,하이브리드(휘발유+전기),화물,비사업용,3,2021-08-20 11:57:31
202107,하이브리드(휘발유+전기),화물,사업용,0,2021-08-20 11:57:31
202107,하이브리드(휘발유+전기),특수,비사업용,0,2021-08-20 11:57:31
202107,하이브리드(휘발유+전기),특수,사업용,0,2021-08-20 11:57:31
202107,하이브리드(경유+전기),승용,비사업용,1552,2021-08-20 11:57:31
202107,하이브리드(경유+전기),승용,사업용,123,2021-08-20 11:57:31
202107,하이브리드(경유+전기),승합,비사업용,1,2021-08-20 11:57:31
202107,하이브리드(경유+전기),승합,사업용,0,2021-08-20 11:57:31
202107,하이브리드(경유+전기),화물,비사업용,0,2021-08-20 11:57:31
202107,하이브리드(경유+전기),화물,사업용,0,2021-08-20 11:57:31
202107,하이브리드(경유+전기),특수,비사업용,0,2021-08-20 11:57:31
202107,하이브리드(경유+전기),특수,사업용,0,2021-08-20 11:57:31
202107,하이브리드(LPG+전기),승용,비사업용,1616,2021-08-20 11:57:31
202107,하이브리드(LPG+전기),승용,사업용,116,2021-08-20 11:57:31
202107,하이브리드(LPG+전기),승합,비사업용,0,2021-08-20 11:57:31
202107,하이브리드(LPG+전기),승합,사업용,0,2021-08-20 11:57:31
