statNm,statId,addr,lat,lng,bnm,busiNm
종묘 공영주차장,ME000001,서울특별시 종로구 종로 157,37.571076,126.99588,환경부,환경부
세종로 공영주차장,ME000002,서울특별시 종로구 세종대로 189,37.573611,126.976011,환경부,환경부
그랜드앰배서더 서울,ME000003,서울특별시 중구 동호로 287,37.559352,127.00235,환경부,환경부
한강진역 공영주차장,ME000004,서울특별시 용산구 한남동 산10-84,37.540085,127.002804,환경부,환경부
기아차 성동서비스센터,ME000005,서울특별시 성동구 성수이로26길 61,37.544834,127.064226,환경부,환경부
마장동사무소 앞(공중전화부스),ME000006,서울특별시 성동구 마장동 808,37.5660935,127.0455256,환경부,환경부
청량리롯데백화점,ME000007,서울특별시 동대문구 왕산로 214,37.58065,127.047938,환경부,환경부
이마트 이문점,ME000008,서울특별시 동대문구 이문로 136,37.598454,127.061848,환경부,환경부
홈플러스 면목점,ME000010,서울특별시 중랑구 사가정로 332,37.580612,127.08154,환경부,환경부
홈플러스 월곡점,ME000011,서울특별시 성북구 화랑로 76,37.60208293,127.04002398,환경부,환경부
성북벤처빌딩 공영주차장,ME000012,서울특별시 성북구 장위2동 65-154,37.60936,127.053263,환경부,환경부
롯데마트 삼양점,ME000013,서울특별시 강북구 삼양로 247,37.625405,127.017897,환경부,환경부
빅마켓 도봉점,ME000014,서울특별시 도봉구 마들로 645,37.667567,127.04549,환경부,환경부
이마트 은평점,ME000016,서울특별시 은평구 은평로 111,37.60047527,126.92047408,환경부,환경부
구파발역 환승주차장,ME000017,서울특별시 은평구 진관동 66-30,37.63791,126.9191,환경부,환경부
홈플러스 월드컵점,ME000018,서울특별시 마포구 월드컵로 240,37.566685,126.898753,환경부,환경부
시설관리공단 마포유수지주차장,ME000019,서울특별시 마포구 마포대로1길 19,37.539442,126.943054,환경부,환경부
노을공원,ME000020,"서울특별시 마포구 상암동 482-116, ",37.569588,126.879244,환경부,환경부
홈플러스 목동점,ME000021,서울특별시 양천구 목동서로 170,37.52992611,126.87364033,환경부,환경부
해맞이공영주차장,ME000022,서울특별시 양천구 지양로 47,37.520062,126.834854,환경부,환경부
홈플러스 가양점,ME000023,서울특별시 강서구 양천로 431,37.56401856,126.85059572,환경부,환경부
롯데마트 김포공항점,ME000024,서울특별시 강서구 하늘길 77,37.563453,126.803539,환경부,환경부
메이필드호텔,ME000025,서울특별시 강서구 방화대로 94,37.546851,126.818613,환경부,환경부
롯데마트 구로점,ME000026,서울특별시 구로구 경인로 482,37.49797486,126.87234534,환경부,환경부
천왕역 환승주차장,ME000027,서울특별시 구로구 오류동 174-10,37.487234,126.839153,환경부,환경부
구로리공원 앞(공중전화부스),ME000028,서울특별시 구로구 구로동 136-14,37.4912466,126.8919514,환경부,환경부
홈플러스 시흥점,ME000029,서울특별시 금천구 시흥대로 201,37.45222814,126.90093936,환경부,환경부
독산1동 공영주차장,ME000030,서울특별시 금천구 범안로12가길 65,37.464893,126.89479,환경부,환경부
제일모직아울렛 건너편(공중전화부스),ME000031,서울특별시 금천구 가산동 239-27,37.4744454,126.8867302,환경부,환경부
영등포구 대신시장(공중전화부스),ME000032,서울특별시 영등포구 신길1동 116-15,37.5113404,126.9176919,환경부,환경부
현대차 남부서비스센터,ME000034,서울특별시 동작구 노량진로 53,37.514185,126.931894,환경부,환경부
동작주차공원 공영주차장,ME000035,서울특별시 동작구 현충로 213,37.503803,126.976775,환경부,환경부
조원동 제1공영주차장,ME000036,서울특별시 관악구 신림동 571-6,37.481069,126.905703,환경부,환경부
사당역 공영주차장,ME000037,서울특별시 서초구 과천대로 950-18,37.475256,126.982638,환경부,환경부
이마트 양재점,ME000038,서울특별시 서초구 매헌로 16,37.463293,127.036812,환경부,환경부
수서역 공영주차장,ME000039,서울특별시 강남구 수서동 735,37.487569,127.101016,환경부,환경부
학여울역 공영주차장,ME000040,서울특별시 강남구 남부순환로 3104,37.496722,127.070444,환경부,환경부
GS칼텍스 삼성로점,ME000041,서울특별시 강남구 삼성로 563,37.5118672,127.0536275,환경부,환경부
개포동공원 공영주차장,ME000042,서울특별시 강남구 개포로 509,37.489757,127.068269,환경부,환경부
탄천제2호 공영주차장,ME000043,서울특별시 강남구 일원동 4-49,37.493865,127.08723,환경부,환경부
롯데마트 잠실점,ME000044,서울특별시 송파구 올림픽로 240,37.511818,127.096321,환경부,환경부
이마트 명일점,ME000045,서울특별시 강동구 고덕로 276,37.554606,127.155966,환경부,환경부
노보텔,ME174001,서울특별시 강남구 봉은사로 130,37.5052721,127.0289991,환경부,환경부
현대블루핸즈 대치북부점,ME174002,서울특별시 강남구 선릉로 336,37.4996481,127.0513534,환경부,환경부
암사1동 공영주차장,ME174003,서울특별시 강동구 고덕로28길 36,37.5529087,127.1372547,환경부,환경부
천호유수지 공영주차장,ME174004,서울특별시 강동구 선사로 70,37.5448122,127.1218396,환경부,환경부
천호3동 제1공영주차장,ME174005,서울특별시 강동구 진황도로29길 34,37.5387951,127.1333987,환경부,환경부
