STD_YM,ADMI_CD,ADMI_NM,RSPOP_CNT,CTY_NM
202107,11200540,마장동,265,성동구
202107,11290555,삼선동,205,성북구
202107,11545510,가산동,177,금천구
202107,11560605,문래동,769,영등포구
202107,11470560,신월1동,215,양천구
202107,11680660,개포1동,62,강남구
202107,11500530,등촌2동,292,강서구
202107,11530780,오류2동,528,구로구
202107,11680640,역삼1동,239,강남구
202107,11500593,화곡8동,285,강서구
202107,11500605,가양3동,234,강서구
202107,11410710,북가좌1동,293,서대문구
202107,11290600,안암동,102,성북구
202107,11230720,휘경1동,194,동대문구
202107,11110670,창신1동,32,종로구
202107,11290620,정릉1동,313,성북구
202107,11560560,당산2동,718,영등포구
202107,11620715,난향동,214,관악구
202107,11560680,신길6동,281,영등포구
202107,11260680,신내1동,616,중랑구
202107,11260690,신내2동,294,중랑구
202107,11410640,홍제3동,159,서대문구
202107,11215780,능동,129,광진구
202107,11170555,청파동,165,용산구
202107,11260590,상봉2동,220,중랑구
202107,11380580,응암1동,561,은평구
202107,11500570,화곡4동,257,강서구
202107,11710570,오금동,644,송파구
202107,11440700,망원2동,252,마포구
202107,11710647,위례동,1104,송파구
202107,11440585,도화동,379,마포구
202107,11560630,신길1동,115,영등포구
202107,11215840,자양3동,468,광진구
202107,11470520,목2동,391,양천구
202107,11590510,노량진1동,446,동작구
202107,11290575,동선동,112,성북구
202107,11200670,성수2가1동,190,성동구
202107,11740560,고덕2동,577,강동구
202107,11230536,용신동,312,동대문구
202107,11380590,응암2동,740,은평구
202107,11710720,잠실7동,131,송파구
202107,11620615,중앙동,91,관악구
202107,11290650,정릉4동,353,성북구
202107,11170590,용문동,179,용산구
202107,11305635,수유3동,174,강북구
202107,11110550,부암동,79,종로구
202107,11110690,창신3동,99,종로구
202107,11530790,수궁동,326,구로구
202107,11590620,사당1동,182,동작구
202107,11500611,발산1동,511,강서구
202107,11170630,이촌1동,560,용산구
202107,11215830,자양2동,348,광진구
202107,11350570,월계2동,374,노원구
202107,11650651,양재1동,661,서초구
202107,11470510,목1동,398,양천구
202107,11680565,청담동,435,강남구
202107,11380640,증산동,156,은평구
202107,11530740,개봉1동,530,구로구
202107,11350611,하계1동,247,노원구
202107,11560550,당산1동,333,영등포구
202107,11650540,잠원동,353,서초구
202107,11530520,구로1동,409,구로구
202107,11530595,가리봉동,55,구로구
202107,11215770,중곡4동,340,광진구
202107,11305535,미아동,140,강북구
202107,11470650,신정4동,343,양천구
202107,11590660,대방동,415,동작구
202107,11230660,장안2동,604,동대문구
202107,11530770,오류1동,322,구로구
202107,11170700,보광동,114,용산구
202107,11290525,성북동,173,성북구
