`regist_ym`,`fuel_knd_nm`,`vhcle_knd_ty`,`vhcle_prpos_se`,`cnt`
201710,휘발유,승용,비사업용,1581362
201710,휘발유,승용,사업용,19134
201710,휘발유,승합,비사업용,1060
201710,휘발유,승합,사업용,48
201710,휘발유,화물,비사업용,1716
201710,휘발유,화물,사업용,2
201710,휘발유,특수,비사업용,18
201710,휘발유,특수,사업용,0
201710,경유,승용,비사업용,713985
201710,경유,승용,사업용,11116
201710,경유,승합,비사업용,90440
201710,경유,승합,사업용,7350
201710,경유,화물,비사업용,254490
201710,경유,화물,사업용,48292
201710,경유,특수,비사업용,2485
201710,경유,특수,사업용,4784
201710,엘피지,승용,비사업용,165828
201710,엘피지,승용,사업용,86761
201710,엘피지,승합,비사업용,19981
201710,엘피지,승합,사업용,72
201710,엘피지,화물,비사업용,25724
201710,엘피지,화물,사업용,6187
201710,엘피지,특수,비사업용,23
201710,엘피지,특수,사업용,60
201710,전기,승용,비사업용,1771
201710,전기,승용,사업용,2109
201710,전기,승합,비사업용,2
201710,전기,승합,사업용,9
201710,전기,화물,비사업용,17
201710,전기,화물,사업용,0
201710,전기,특수,비사업용,0
201710,전기,특수,사업용,0
201710,CNG,승용,비사업용,558
201710,CNG,승용,사업용,64
201710,CNG,승합,비사업용,58
201710,CNG,승합,사업용,8599
201710,CNG,화물,비사업용,446
201710,CNG,화물,사업용,3
201710,CNG,특수,비사업용,3
201710,CNG,특수,사업용,0
201710,하이브리드(휘발유+전기),승용,비사업용,50624
201710,하이브리드(휘발유+전기),승용,사업용,3444
201710,하이브리드(휘발유+전기),승합,비사업용,0
201710,하이브리드(휘발유+전기),승합,사업용,0
201710,하이브리드(휘발유+전기),화물,비사업용,0
201710,하이브리드(휘발유+전기),화물,사업용,0
201710,하이브리드(휘발유+전기),특수,비사업용,0
201710,하이브리드(휘발유+전기),특수,사업용,0
201710,하이브리드(경유+전기),승용,비사업용,25
201710,하이브리드(경유+전기),승용,사업용,2
201710,하이브리드(경유+전기),승합,비사업용,1
201710,하이브리드(경유+전기),승합,사업용,0
201710,하이브리드(경유+전기),화물,비사업용,0
201710,하이브리드(경유+전기),화물,사업용,0
201710,하이브리드(경유+전기),특수,비사업용,0
201710,하이브리드(경유+전기),특수,사업용,0
201710,하이브리드(LPG+전기),승용,비사업용,2114
201710,하이브리드(LPG+전기),승용,사업용,2
201710,하이브리드(LPG+전기),승합,비사업용,0
201710,하이브리드(LPG+전기),승합,사업용,0
201710,하이브리드(LPG+전기),화물,비사업용,0
201710,하이브리드(LPG+전기),화물,사업용,0
201710,하이브리드(LPG+전기),특수,비사업용,0
201710,하이브리드(LPG+전기),특수,사업용,0
201710,하이브리드(CNG+전기),승용,비사업용,0
201710,하이브리드(CNG+전기),승용,사업용,0
201710,하이브리드(CNG+전기),승합,비사업용,0
201710,하이브리드(CNG+전기),승합,사업용,51
201710,하이브리드(CNG+전기),화물,비사업용,0
201710,하이브리드(CNG+전기),화물,사업용,0
201710,하이브리드(CNG+전기),특수,비사업용,0
201710,하이브리드(CNG+전기),특수,사업용,0
201710,수소,승용,비사업용,13
201710,수소,승용,사업용,0
201710,수소,승합,비사업용,0
201710,수소,승합,사업용,0
201710,수소,화물,비사업용,0
201710,수소,화물,사업용,0
201710,수소,특수,비사업용,0
201710,수소,특수,사업용,0
201710,기타연료,승용,비사업용,400
201710,기타연료,승용,사업용,0
201710,기타연료,승합,비사업용,931
201710,기타연료,승합,사업용,0
201710,기타연료,화물,비사업용,2588
201710,기타연료,화물,사업용,1187
201710,기타연료,특수,비사업용,124
201710,기타연료,특수,사업용,2
201601,휘발유,승용,비사업용,1583249
201601,휘발유,승용,사업용,17454
201601,휘발유,승합,비사업용,1252
201601,휘발유,승합,사업용,37
201601,휘발유,화물,비사업용,1652
201601,휘발유,화물,사업용,0
201601,휘발유,특수,비사업용,21
201601,휘발유,특수,사업용,0
201601,경유,승용,비사업용,650028
201601,경유,승용,사업용,8551
201601,경유,승합,비사업용,94881
201601,경유,승합,사업용,8239
201601,경유,화물,비사업용,256360
201601,경유,화물,사업용,47945
201601,경유,특수,비사업용,2098
201601,경유,특수,사업용,4508
201601,엘피지,승용,비사업용,181796
201601,엘피지,승용,사업용,89138
201601,엘피지,승합,비사업용,27644
201601,엘피지,승합,사업용,65
201601,엘피지,화물,비사업용,31033
201601,엘피지,화물,사업용,7045
201601,엘피지,특수,비사업용,31
201601,엘피지,특수,사업용,61
201601,전기,승용,비사업용,573
201601,전기,승용,사업용,551
201601,전기,승합,비사업용,1
201601,전기,승합,사업용,9
201601,전기,화물,비사업용,2
201601,전기,화물,사업용,0
201601,전기,특수,비사업용,0
201601,전기,특수,사업용,0
201601,CNG,승용,비사업용,592
201601,CNG,승용,사업용,183
201601,CNG,승합,비사업용,62
201601,CNG,승합,사업용,8684
201601,CNG,화물,비사업용,469
201601,CNG,화물,사업용,3
201601,CNG,특수,비사업용,3
201601,CNG,특수,사업용,0
201601,하이브리드(휘발유+전기),승용,비사업용,29957
201601,하이브리드(휘발유+전기),승용,사업용,2413
201601,하이브리드(휘발유+전기),승합,비사업용,0
201601,하이브리드(휘발유+전기),승합,사업용,0
201601,하이브리드(휘발유+전기),화물,비사업용,0
201601,하이브리드(휘발유+전기),화물,사업용,0
201601,하이브리드(휘발유+전기),특수,비사업용,0
201601,하이브리드(휘발유+전기),특수,사업용,0
201601,하이브리드(경유+전기),승용,비사업용,22
201601,하이브리드(경유+전기),승용,사업용,2
201601,하이브리드(경유+전기),승합,비사업용,1
201601,하이브리드(경유+전기),승합,사업용,0
201601,하이브리드(경유+전기),화물,비사업용,0
201601,하이브리드(경유+전기),화물,사업용,0
201601,하이브리드(경유+전기),특수,비사업용,0
201601,하이브리드(경유+전기),특수,사업용,0
201601,하이브리드(LPG+전기),승용,비사업용,2246
201601,하이브리드(LPG+전기),승용,사업용,4
201601,하이브리드(LPG+전기),승합,비사업용,0
201601,하이브리드(LPG+전기),승합,사업용,0
201601,하이브리드(LPG+전기),화물,비사업용,0
201601,하이브리드(LPG+전기),화물,사업용,0
201601,하이브리드(LPG+전기),특수,비사업용,0
201601,하이브리드(LPG+전기),특수,사업용,0
201601,하이브리드(CNG+전기),승용,비사업용,0
201601,하이브리드(CNG+전기),승용,사업용,0
201601,하이브리드(CNG+전기),승합,비사업용,0
201601,하이브리드(CNG+전기),승합,사업용,31
201601,하이브리드(CNG+전기),화물,비사업용,0
201601,하이브리드(CNG+전기),화물,사업용,0
201601,하이브리드(CNG+전기),특수,비사업용,0
201601,하이브리드(CNG+전기),특수,사업용,0
201601,수소,승용,비사업용,2
201601,수소,승용,사업용,0
201601,수소,승합,비사업용,0
201601,수소,승합,사업용,0
201601,수소,화물,비사업용,0
201601,수소,화물,사업용,0
201601,수소,특수,비사업용,0
201601,수소,특수,사업용,0
201601,기타연료,승용,비사업용,543
201601,기타연료,승용,사업용,0
201601,기타연료,승합,비사업용,652
201601,기타연료,승합,사업용,0
201601,기타연료,화물,비사업용,1946
201601,기타연료,화물,사업용,1130
201601,기타연료,특수,비사업용,70
201601,기타연료,특수,사업용,6
201810,휘발유,승용,비사업용,1571796
201810,휘발유,승용,사업용,19129
201810,휘발유,승합,비사업용,1018
201810,휘발유,승합,사업용,39
201810,휘발유,화물,비사업용,1812
