addr,lat,lng,법정동,cnt,법정동코드,행정동,행정동코드
서울특별시 강남구  테헤란로 305(역삼동),37.503534,127.043759,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 강남대로 128길 20 영동프라자,37.5099,127.0236,논현동,1,1168010800,논현1동,1168052100
서울특별시 강남구 강남대로 298 (역삼동),37.4900509974,127.032162944,역삼동,2,1168010100,역삼1동,1168064000
서울특별시 강남구 강남대로 362,37.4952676,127.0294042,역삼동,4,1168010100,역삼1동,1168064000
서울특별시 강남구 강남대로120길 33,37.5082482,127.02676569999,논현동,2,1168010800,논현1동,1168052100
서울특별시 강남구 강남대로146길 28,37.5150435,127.0229029,논현동,5,1168010800,논현1동,1168052100
서울특별시 강남구 강남대로84길 33,37.497548566432,127.0310816659,역삼동,2,1168010100,역삼1동,1168064000
서울특별시 강남구 개포동 13-2,37.49491,127.07928,개포동,1,1168010300,일원2동,1168074000
서울특별시 강남구 개포로,37.494966,127.081799,일원동,2,1168011400,일원2동,1168074000
서울특별시 강남구 개포로 25길 32,37.48151,127.04851,개포동,1,1168010300,개포4동,1168069000
서울특별시 강남구 개포로 264,37.477938,127.0559855,개포동,1,1168010300,개포4동,1168069000
서울특별시 강남구 개포로 264,37.477974,127.0559968,개포동,2,1168010300,개포4동,1168069000
서울특별시 강남구 개포로 264,37.479678,127.0536125,개포동,2,1168010300,개포4동,1168069000
서울특별시 강남구 개포로 264,37.4797231,127.05359,개포동,4,1168010300,개포4동,1168069000
서울특별시 강남구 개포로 264,37.4797504,127.0522282,개포동,3,1168010300,개포4동,1168069000
서울특별시 강남구 개포로 264,37.4800566,127.0533188,개포동,2,1168010300,개포4동,1168069000
서울특별시 강남구 개포로 264,37.4800746,127.0533075,개포동,4,1168010300,개포4동,1168069000
서울특별시 강남구 개포로 310-17 (개포동),37.48197916907,127.0574854723,개포동,1,1168010300,개포1동,1168066000
서울특별시 강남구 개포로 509,37.489757,127.068269,개포동,1,1168010300,개포2동,1168067000
서울특별시 강남구 개포로 607,37.4919959,127.0738859,개포동,1,1168010300,일원2동,1168074000
서울특별시 강남구 개포로 621,37.4941304931,127.078781104,개포동,9,1168010300,일원2동,1168074000
서울특별시 강남구 개포로 621,37.4941304932,127.0787811048,개포동,1,1168010300,일원2동,1168074000
서울특별시 강남구 개포로 621,37.49414,127.07879,개포동,2,1168010300,일원2동,1168074000
서울특별시 강남구 개포로 625,37.4959067,127.0799979,개포동,2,1168010300,일원2동,1168074000
"서울특별시 강남구 개포로109길 69 (개포동, 엘지개포자이)",37.4963,127.077,개포동,1,1168010300,일원2동,1168074000
서울특별시 강남구 개포로110길 15,37.4920292,127.0775192,일원동,3,1168011400,일원2동,1168074000
서울특별시 강남구 개포로110길 38,37.490357204,127.07817987,일원동,3,1168011400,일원2동,1168074000
서울특별시 강남구 개포로38길 12 (개포동),37.4788211208,127.0516583213,개포동,1,1168010300,개포4동,1168069000
서울특별시 강남구 광평로 126,37.483375399999,127.086393199,일원동,1,1168011400,일원본동,1168072000
서울특별시 강남구 광평로 295,37.488559104032,127.1044707151,수서동,4,1168011500,수서동,1168075000
"서울특별시 강남구 광평로10길 6 (일원동, 한솔마을아파트)",37.4843,127.079,일원동,2,1168011400,일원본동,1168072000
"서울특별시 강남구 광평로19길 15 (일원동, 목련타운아파트)",37.48412788086,127.0859977579,일원동,2,1168011400,일원본동,1168072000
"서울특별시 강남구 광평로19길 15 (일원동, 목련타운아파트)",37.48520021128,127.0858180794,일원동,2,1168011400,일원본동,1168072000
"서울특별시 강남구 광평로19길 15 (일원동, 목련타운아파트)",37.48520590786,127.0841616502,일원동,3,1168011400,일원본동,1168072000
"서울특별시 강남구 광평로19길 15 (일원동, 목련타운아파트)",37.48537199932,127.0849928829,일원동,2,1168011400,일원본동,1168072000
서울특별시 강남구 광평로34길 124,37.479744028,127.0878288128,수서동,1,1168011500,일원본동,1168072000
서울특별시 강남구 광평로34길 35,37.481093,127.094718,수서동,10,1168011500,수서동,1168075000
서울특별시 강남구 광평로34길 55,37.480849078,127.09236666,수서동,1,1168011500,일원본동,1168072000
"서울특별시 강남구 광평로47길 28 (수서동, KT)",37.4884,127.099,수서동,2,1168011500,수서동,1168075000
서울특별시 강남구 광평로51길 22,37.4893132,127.1034314,수서동,5,1168011500,수서동,1168075000
서울특별시 강남구 남부순환로,37.496059,127.072229,대치동,2,1168010600,대치2동,1168061000
"서울특별시 강남구 남부순환로 2653 (도곡동, KT양재지점)",37.4859,127.04,도곡동,9,1168011800,도곡1동,1168065500
서울특별시 강남구 남부순환로 3104,37.4956773978,127.0719118019,대치동,2,1168010600,대치2동,1168061000
서울특별시 강남구 남부순환로 3104,37.496722,127.070444,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 남부순환로 3142-33,37.497271137233,127.0764412728,대치동,1,1168010600,일원2동,1168074000
서울특별시 강남구 남부순환로 3165,37.499373468,127.07444468,대치동,6,1168010600,일원2동,1168074000
서울특별시 강남구 남부순환로 지하 3104,37.496717186,127.07171897,대치동,2,1168010600,대치2동,1168061000
서울특별시 강남구 남부순환로3104,37.49584,127.07223,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 남부순환로363길 30,37.487619452,127.03819717,도곡동,2,1168011800,도곡1동,1168065500
"서울특별시 강남구 남부순환로363길 30 (도곡동, 도곡쌍용예가아파트)",37.487234,127.038376,도곡동,3,1168011800,도곡1동,1168065500
서울특별시 강남구 남부순환로378길 34-9,37.483701,127.046441,도곡동,1,1168011800,도곡2동,1168065600
서울특별시 강남구 남부순환로381길 15,37.4879363,127.0476656,도곡동,5,1168011800,도곡1동,1168065500
서울특별시 강남구 논현동,37.507825,127.023448,논현동,2,1168010800,논현1동,1168052100
서울특별시 강남구 논현동 276-1,37.50957023378,127.0387042079,논현동,3,1168010800,논현2동,1168053100
서울특별시 강남구 논현로 209,37.488706,127.040767,도곡동,3,1168011800,도곡1동,1168065500
서울특별시 강남구 논현로 417 (역삼동),37.4973509942,127.0380962851,역삼동,2,1168010100,역삼1동,1168064000
서울특별시 강남구 논현로 430,37.499001,127.038355,역삼동,4,1168010100,역삼2동,1168065000
서울특별시 강남구 논현로 516,37.5028527,127.036348,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 논현로163길 33,37.5238944,127.0255799,신사동,7,1138010900,신사동,1162068500
서울특별시 강남구 논현로163길 33,37.5238944,127.0255799,신사동,7,1138010900,신사동,1168051000
서울특별시 강남구 논현로18길 9,37.478001999999,127.0455609999,개포동,1,1168010300,개포4동,1168069000
서울특별시 강남구 논현로26길 23,37.482816,127.044354,도곡동,1,1168011800,도곡2동,1168065600
서울특별시 강남구 논현로51길 25,37.769476895,126.77006664,도곡동,2,168011800,도곡1동,1168065500
서울특별시 강남구 대치동,37.497055,127.072487,대치동,3,1168010600,대치2동,1168061000
서울특별시 강남구 대치동 950,37.50687518967,127.0622276123,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 대치동 도곡로93길 12,37.5015124522,127.0654756841,대치동,2,1168010600,대치2동,1168061000
서울특별시 강남구 대치동 삼성로51길 37,37.4934362819,127.0576977958,대치동,1,1168010600,대치1동,1168060000
서울특별시 강남구 대치동 삼성로64길 5,37.500448308,127.0605123535,대치동,1,1168010600,대치2동,1168061000
서울특별시 강남구 도곡동 967 경남아파트,37.4888734144,127.0408057276,도곡동,3,1168011800,도곡1동,1168065500
서울특별시 강남구 도곡동 선릉로 221,37.4942075612,127.0497329724,도곡동,4,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡동 언주로30길 13,37.4881415795,127.0506742304,도곡동,1,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡동 언주로30길 26,37.4877623464,127.0525283412,도곡동,1,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡동 언주로30길 56,37.4880682608,127.0534828799,도곡동,5,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡동 언주로30길 57,37.4894771854,127.0540356842,도곡동,2,1168011800,도곡2동,1168065600
서울특별시 강남구 도곡로 121,37.490391,127.033547,역삼동,1,1168010100,역삼1동,1168064000
서울특별시 강남구 도곡로 225,37.4937143,127.0431144,역삼동,2,1168010100,역삼2동,1168065000
