상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,행정동_코드
1000001,2020,4,201,212,11110600
1000002,2020,4,115,122,11110710
1000003,2020,4,284,299,11110615
1000004,2020,4,73,84,11110650
1000005,2020,4,76,80,11110550
1000006,2020,4,91,91,11110600
1000007,2020,4,200,216,11110540
1000008,2020,4,86,99,11110540
1000009,2020,4,145,155,11110540
1000010,2020,4,126,143,11110650
1000011,2020,4,123,138,11110710
1000012,2020,4,68,70,11110515
1000013,2020,4,192,194,11110615
1000014,2020,4,62,68,11110630
1000015,2020,4,152,164,11110640
1000016,2020,4,198,202,11110530
1000017,2020,4,521,523,11110615
1000018,2020,4,101,115,11110710
1000019,2020,4,97,108,11110710
1000020,2020,4,101,107,11110700
1000021,2020,4,86,88,11110650
1000022,2020,4,71,74,11110680
1000023,2020,4,48,52,11110680
1000024,2020,4,31,32,11110680
1000025,2020,4,36,41,11110580
1000026,2020,4,85,87,11110560
1000027,2020,4,71,76,11110530
1000028,2020,4,242,260,11140670
1000029,2020,4,65,69,11140670
1000030,2020,4,168,178,11140615
1000031,2020,4,127,139,11140665
1000032,2020,4,233,246,11140665
1000033,2020,4,165,180,11140615
1000034,2020,4,209,232,11140645
1000035,2020,4,110,120,11140625
1000036,2020,4,108,111,11140625
1000037,2020,4,71,72,11140580
1000038,2020,4,85,98,11140635
1000039,2020,4,220,249,11140550
1000040,2020,4,162,177,11140605
1000041,2020,4,124,127,11140580
1000042,2020,4,158,170,11140625
1000043,2020,4,86,90,11140645
1000044,2020,4,152,154,11140540
1000045,2020,4,142,147,11140550
1000046,2020,4,137,147,11140580
1000047,2020,4,162,167,11140580
1000048,2020,4,158,164,11140540
1000049,2020,4,175,179,11140650
1000050,2020,4,31,32,11170690
1000051,2020,4,162,168,11170650
1000052,2020,4,175,178,11170650
1000053,2020,4,127,131,11170660
1000054,2020,4,104,110,11170660
1000055,2020,4,103,107,11170685
1000056,2020,4,113,125,11170530
1000057,2020,4,190,206,11170580
1000058,2020,4,140,155,11170560
1000059,2020,4,60,60,11170690
1000060,2020,4,117,127,11170520
1000061,2020,4,124,133,11170510
1000062,2020,4,130,131,11170700
1000063,2020,4,100,104,11170685
1000064,2020,4,103,107,11170700
1000065,2020,4,135,142,11170570
1000066,2020,4,119,125,11170570
1000067,2020,4,159,166,11170590
1000068,2020,4,162,178,11170560
1000069,2020,4,101,108,11170640
1000070,2020,4,195,205,11170650
1000071,2020,4,323,332,11170685
1000072,2020,4,104,113,11170700
1000073,2020,4,369,446,11170555
1000074,2020,4,55,58,11170555
1000075,2020,4,114,122,11170555
1000076,2020,4,77,89,11170555
1000077,2020,4,194,219,11170530
1000078,2020,4,118,123,11170625
1000079,2020,4,330,356,11170625
1000080,2020,4,200,208,11170625
1000081,2020,4,185,196,11170625
1000082,2020,4,105,110,11170625
1000083,2020,4,74,77,11170530
1000084,2020,4,155,162,11170685
1000085,2020,4,183,193,11170660
1000086,2020,4,120,133,11170590
1000087,2020,4,109,119,11170510
1000088,2020,4,136,155,11200560
1000089,2020,4,44,44,11200615
1000090,2020,4,96,102,11200615
1000091,2020,4,187,197,11200650
1000092,2020,4,122,131,11200670
1000093,2020,4,98,103,11200540
1000094,2020,4,166,174,11200540
1000095,2020,4,77,78,11200540
1000096,2020,4,65,78,11200550
1000097,2020,4,89,98,11200645
1000098,2020,4,138,155,11200615
1000099,2020,4,190,199,11200535
1000100,2020,4,142,152,11200520
1000101,2020,4,68,80,11200520
1000102,2020,4,97,110,11200550
1000103,2020,4,144,153,11200660
1000104,2020,4,218,250,11200660
1000105,2020,4,243,248,11200660
1000106,2020,4,216,226,11200670
1000107,2020,4,165,175,11200650
1000108,2020,4,208,217,11200690
1000109,2020,4,196,205,11200690
1000110,2020,4,295,320,11200690
1000111,2020,4,64,69,11200720
1000112,2020,4,197,203,11200720
1000113,2020,4,254,263,11200690
1000114,2020,4,197,218,11200690
1000115,2020,4,194,202,11200690
1000116,2020,4,198,206,11200660
1000117,2020,4,89,106,11200560
1000118,2020,4,274,286,11200535
1000119,2020,4,131,144,11200520
1000120,2020,4,319,352,11200660
1000121,2020,4,207,232,11200790
1000122,2020,4,59,59,11200790
1000123,2020,4,259,292,11200615
1000124,2020,4,325,332,11200540
1000125,2020,4,161,184,11200645
1000126,2020,4,103,107,11200645
1000127,2020,4,162,178,11215710
1000128,2020,4,117,142,11215710
1000129,2020,4,137,146,11215850
1000130,2020,4,62,64,11215860
1000131,2020,4,144,163,11215850
1000132,2020,4,140,157,11215870
1000133,2020,4,175,189,11215750
1000134,2020,4,205,221,11215740
1000135,2020,4,121,127,11215740
1000136,2020,4,228,245,11215760
1000137,2020,4,193,210,11215710
1000138,2020,4,125,137,11215710
1000139,2020,4,190,202,11215780
1000140,2020,4,151,162,11215847
1000141,2020,4,117,131,11215840
1000142,2020,4,211,222,11215847
1000143,2020,4,76,85,11215710
1000144,2020,4,99,104,11215840
1000145,2020,4,95,101,11215847
1000146,2020,4,137,154,11215830
1000147,2020,4,96,102,11215830
1000148,2020,4,193,212,11215830
1000149,2020,4,95,99,11215830
1000150,2020,4,151,159,11215760
1000151,2020,4,89,100,11215820
1000152,2020,4,114,127,11215850
1000153,2020,4,171,186,11215850
1000154,2020,4,181,206,11215870
1000155,2020,4,138,151,11215810
1000156,2020,4,236,250,11215750
1000157,2020,4,118,128,11215750
1000158,2020,4,244,258,11215820
1000159,2020,4,148,156,11215820
1000160,2020,4,133,139,11215850
1000161,2020,4,181,197,11215770
1000162,2020,4,122,132,11215860
1000163,2020,4,145,154,11215770
1000164,2020,4,117,126,11215840
1000165,2020,4,412,430,11215750
1000166,2020,4,179,191,11215750
1000167,2020,4,200,227,11215860
1000168,2020,4,87,113,11230710
1000169,2020,4,149,168,11230710
1000170,2020,4,97,98,11230536
1000171,2020,4,79,91,11230560
1000172,2020,4,116,120,11230610
1000173,2020,4,141,150,11230610
1000174,2020,4,77,81,11230660
1000175,2020,4,174,187,11230650
1000176,2020,4,203,217,11230650
1000177,2020,4,195,218,11230660
1000178,2020,4,108,118,11230650
1000179,2020,4,52,60,11230730
1000180,2020,4,116,132,11230730
1000181,2020,4,101,109,11230720
