행정동코드,행정동,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드
1111051500,청운효자동,3307.0,1838.0,1078.0,176.0,28.0,0.0,3.0,22.0,162.0
1111053000,사직동,7984.0,3927.0,3425.0,130.0,109.0,2.0,10.0,64.0,317.0
1111054000,삼청동,795.0,437.0,281.0,39.0,8.0,0.0,0.0,3.0,27.0
1111055000,부암동,3159.0,1775.0,1042.0,147.0,25.0,0.0,2.0,6.0,162.0
1111056000,평창동,6571.0,3865.0,2005.0,214.0,61.0,1.0,4.0,17.0,404.0
1111057000,무악동,2834.0,1494.0,973.0,170.0,17.0,0.0,6.0,3.0,171.0
1111058000,교남동,2918.0,1685.0,870.0,127.0,29.0,4.0,2.0,11.0,190.0
1111060000,가회동,1261.0,629.0,511.0,52.0,14.0,1.0,7.0,1.0,46.0
1111061500,종로1.2.3.4가동,6337.0,2992.0,2502.0,228.0,123.0,21.0,21.0,31.0,419.0
1111063000,종로5.6가동,1816.0,817.0,798.0,132.0,8.0,1.0,1.0,6.0,53.0
1111064000,이화동,1713.0,918.0,615.0,97.0,23.0,1.0,2.0,6.0,51.0
1111065000,혜화동,3534.0,1930.0,1109.0,241.0,21.0,82.0,1.0,5.0,145.0
1114052000,소공동,4528.0,1860.0,2078.0,105.0,243.0,2.0,3.0,86.0,151.0
1114054000,회현동,10625.0,5799.0,4159.0,26.0,132.0,0.0,1.0,3.0,505.0
1114055000,명동,8716.0,3643.0,3861.0,483.0,194.0,8.0,12.0,109.0,406.0
1114057000,필동,3319.0,1727.0,1227.0,174.0,36.0,1.0,3.0,12.0,139.0
1114058000,장충동,576.0,303.0,202.0,40.0,9.0,0.0,2.0,3.0,17.0
1114059000,광희동,1796.0,747.0,808.0,133.0,35.0,8.0,3.0,11.0,51.0
1114060500,을지로동,1766.0,818.0,822.0,68.0,8.0,2.0,1.0,2.0,45.0
1114061500,신당동,21104.0,10906.0,7641.0,1619.0,133.0,4.0,10.0,48.0,743.0
1114067000,황학동,3456.0,1777.0,1373.0,145.0,27.0,0.0,2.0,10.0,122.0
1114068000,중림동,3873.0,2129.0,1329.0,169.0,36.0,10.0,2.0,5.0,193.0
