사용본거지법정동명,동별 총 대수,휘발유,경유,엘피지,전기,휘발유(유연),휘발유(무연),CNG,수소,기타연료,하이브리드
서울특별시 종로구 청운동,768,212,241,22,9,1,238,0,0,2,43
서울특별시 종로구 신교동,362,92,116,25,3,0,108,0,1,0,17
서울특별시 종로구 궁정동,40,6,12,2,0,0,15,0,0,0,5
서울특별시 종로구 효자동,185,60,63,4,1,0,47,0,0,0,10
서울특별시 종로구 창성동,162,39,62,2,1,0,51,0,0,0,7
서울특별시 종로구 통의동,126,25,44,7,0,0,41,0,1,0,8
서울특별시 종로구 적선동,168,40,77,5,1,0,39,0,0,0,6
서울특별시 종로구 통인동,190,48,55,13,0,0,64,0,0,0,10
서울특별시 종로구 누상동,790,179,254,63,6,0,250,0,1,2,35
서울특별시 종로구 누하동,219,42,94,15,1,0,57,0,0,0,10
서울특별시 종로구 옥인동,591,125,181,30,7,1,203,0,1,18,25
서울특별시 종로구 체부동,158,37,54,12,0,0,47,0,0,0,8
서울특별시 종로구 필운동,309,61,117,11,1,0,106,0,0,1,12
서울특별시 종로구 내자동,3213,118,1851,3,64,0,1109,0,5,5,58
서울특별시 종로구 사직동,1065,319,299,32,9,1,336,0,3,1,65
서울특별시 종로구 도렴동,117,22,31,0,0,0,56,0,0,1,7
서울특별시 종로구 당주동,291,75,86,12,1,0,102,0,0,5,10
서울특별시 종로구 내수동,1210,373,336,18,11,2,354,0,1,51,64
서울특별시 종로구 세종로,384,49,146,1,14,0,138,0,13,0,23
서울특별시 종로구 신문로1가,828,124,291,15,8,0,333,2,0,0,55
서울특별시 종로구 신문로2가,499,81,239,15,14,0,126,0,0,0,24
서울특별시 종로구 청진동,237,78,43,4,0,0,102,0,0,0,10
서울특별시 종로구 서린동,318,23,176,9,4,0,91,0,2,1,12
서울특별시 종로구 수송동,744,110,340,14,33,0,172,19,2,24,30
서울특별시 종로구 중학동,70,19,24,0,0,0,20,0,0,0,7
서울특별시 종로구 종로1가,287,53,133,15,0,0,77,0,0,0,9
서울특별시 종로구 공평동,146,48,29,0,3,0,57,0,1,0,8
서울특별시 종로구 관훈동,165,43,74,5,1,0,34,0,1,2,5
서울특별시 종로구 견지동,231,72,71,6,0,0,67,0,0,0,15
서울특별시 종로구 와룡동,87,19,41,3,1,0,19,0,0,0,4
서울특별시 종로구 권농동,67,15,16,11,2,0,22,0,0,0,1
서울특별시 종로구 운니동,155,34,90,4,1,0,22,0,0,0,4
서울특별시 종로구 익선동,303,81,110,14,0,0,89,0,0,0,9
서울특별시 종로구 경운동,215,36,86,8,1,0,80,0,0,0,4
서울특별시 종로구 관철동,455,38,54,32,46,0,80,0,0,1,204
서울특별시 종로구 인사동,231,62,81,3,1,0,80,0,0,1,3
서울특별시 종로구 낙원동,292,80,117,14,2,0,66,0,1,0,12
서울특별시 종로구 종로2가,196,31,82,27,0,0,54,0,0,0,2
서울특별시 종로구 팔판동,92,21,28,7,2,0,32,0,0,0,2
서울특별시 종로구 삼청동,399,108,134,21,4,0,115,0,0,2,15
서울특별시 종로구 안국동,140,33,59,3,0,0,41,0,0,0,4
서울특별시 종로구 소격동,52,14,19,1,0,0,15,0,0,0,3
서울특별시 종로구 화동,50,15,19,1,0,0,14,0,0,0,1
서울특별시 종로구 사간동,60,14,21,6,2,0,14,0,0,1,2
서울특별시 종로구 송현동,2,0,1,0,0,0,1,0,0,0,0
서울특별시 종로구 가회동,299,92,96,10,8,0,79,0,0,1,13
서울특별시 종로구 재동,175,13,105,0,0,0,56,0,0,0,1
서울특별시 종로구 계동,339,62,153,18,5,0,85,0,6,0,10
서울특별시 종로구 원서동,448,107,157,24,1,0,135,1,1,0,22
서울특별시 종로구 훈정동,1,0,1,0,0,0,0,0,0,0,0
서울특별시 종로구 묘동,83,21,27,4,1,0,26,0,0,1,3
서울특별시 종로구 봉익동,96,18,45,1,0,0,28,1,0,0,3
서울특별시 종로구 돈의동,187,24,93,17,1,0,47,0,0,0,5
서울특별시 종로구 장사동,302,59,148,6,3,0,76,0,0,0,10
서울특별시 종로구 관수동,194,42,96,5,1,0,45,0,0,0,5
서울특별시 종로구 종로3가,78,24,32,1,0,0,17,1,0,0,3
서울특별시 종로구 인의동,453,127,154,9,6,0,136,0,1,1,19
서울특별시 종로구 예지동,72,10,31,3,0,0,24,0,0,0,4
서울특별시 종로구 원남동,258,27,155,9,1,0,61,0,0,0,5
서울특별시 종로구 연지동,420,85,191,26,3,0,104,0,0,1,10
서울특별시 종로구 종로4가,30,10,7,3,1,0,9,0,0,0,0
서울특별시 종로구 효제동,228,53,98,13,0,0,57,0,0,0,7
서울특별시 종로구 종로5가,101,25,28,6,0,0,36,1,0,1,4
서울특별시 종로구 종로6가,466,65,252,24,4,0,105,0,1,4,11
서울특별시 종로구 이화동,470,101,175,31,12,0,136,1,0,5,9
서울특별시 종로구 연건동,349,74,149,11,0,0,93,0,2,0,20
서울특별시 종로구 충신동,601,112,229,63,1,0,175,0,0,0,21
서울특별시 종로구 동숭동,894,202,291,55,11,0,312,0,0,1,22
서울특별시 종로구 혜화동,819,174,229,50,3,0,242,82,0,0,39
서울특별시 종로구 명륜1가,926,222,306,61,4,0,302,0,1,1,29
서울특별시 종로구 명륜2가,754,191,198,41,6,1,277,0,0,2,38
서울특별시 종로구 명륜4가,174,34,71,7,1,0,54,0,0,0,7
서울특별시 종로구 명륜3가,861,178,305,82,7,0,255,0,0,2,32
서울특별시 종로구 창신동,4311,812,1691,325,17,0,1329,5,1,7,124
서울특별시 종로구 숭인동,3737,801,1386,274,14,0,1149,2,0,6,105
서울특별시 종로구 교남동,227,69,51,8,2,0,79,0,0,1,17
서울특별시 종로구 평동,595,154,187,12,10,0,179,0,1,5,47
서울특별시 종로구 송월동,346,110,88,7,4,0,117,0,0,0,20
서울특별시 종로구 홍파동,566,169,149,18,5,0,174,0,1,2,48
서울특별시 종로구 교북동,302,97,91,7,3,0,85,0,0,1,18
서울특별시 종로구 행촌동,882,172,304,75,5,0,280,4,0,2,40
서울특별시 종로구 구기동,1979,571,609,73,13,0,579,1,1,6,126
서울특별시 종로구 평창동,4592,1456,1396,141,48,1,1258,0,3,11,278
서울특별시 종로구 부암동,1480,394,462,65,14,0,462,0,2,5,76
서울특별시 종로구 홍지동,522,138,160,22,0,0,176,0,0,0,26
서울특별시 종로구 신영동,1157,262,420,60,11,1,342,0,0,1,60
서울특별시 종로구 무악동,2834,631,973,170,17,1,862,0,6,3,171
서울특별시 중구 무교동,218,73,60,12,4,0,59,0,0,0,10
서울특별시 중구 다동,232,57,73,2,3,0,56,0,0,1,40
서울특별시 중구 태평로1가,1029,51,464,251,70,0,153,5,7,1,27
서울특별시 중구 을지로1가,125,30,53,3,1,0,33,0,1,1,3
서울특별시 중구 을지로2가,1036,176,476,67,33,0,143,0,0,87,54
서울특별시 중구 남대문로1가,17,2,8,0,0,0,6,0,0,0,1
서울특별시 중구 삼각동,166,65,51,1,0,0,29,0,0,0,20
서울특별시 중구 수하동,196,53,61,1,5,0,45,0,0,2,29
서울특별시 중구 장교동,157,42,50,1,0,0,54,0,0,4,6
