상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,행정동_코드,행정동
1000001,2020,4,201,212,1111060000,가회동
1000002,2020,4,115,122,1111071000,숭인제2동
1000003,2020,4,284,299,1111061500,종로1.2.3.4가동
1000004,2020,4,73,84,1111065000,혜화동
1000005,2020,4,76,80,1111055000,부암동
1000006,2020,4,91,91,1111060000,가회동
1000007,2020,4,200,216,1111054000,삼청동
1000008,2020,4,86,99,1111054000,삼청동
1000009,2020,4,145,155,1111054000,삼청동
1000010,2020,4,126,143,1111065000,혜화동
1000011,2020,4,123,138,1111071000,숭인제2동
1000012,2020,4,68,70,1111051500,청운효자동
1000013,2020,4,192,194,1111061500,종로1.2.3.4가동
1000014,2020,4,62,68,1111063000,종로5.6가동
1000015,2020,4,152,164,1111064000,이화동
1000016,2020,4,198,202,1111053000,사직동
1000017,2020,4,521,523,1111061500,종로1.2.3.4가동
1000018,2020,4,101,115,1111071000,숭인제2동
1000019,2020,4,97,108,1111071000,숭인제2동
1000020,2020,4,101,107,1111070000,숭인제1동
1000021,2020,4,86,88,1111065000,혜화동
1000022,2020,4,71,74,1111068000,창신제2동
1000023,2020,4,48,52,1111068000,창신제2동
1000024,2020,4,31,32,1111068000,창신제2동
1000025,2020,4,36,41,1111058000,교남동
1000026,2020,4,85,87,1111056000,평창동
1000027,2020,4,71,76,1111053000,사직동
1000028,2020,4,242,260,1114067000,황학동
1000029,2020,4,65,69,1114067000,황학동
1000030,2020,4,168,178,1114061500,신당동
1000031,2020,4,127,139,1114066500,동화동
1000032,2020,4,233,246,1114066500,동화동
1000033,2020,4,165,180,1114061500,신당동
1000034,2020,4,209,232,1114064500,청구동
1000035,2020,4,110,120,1114062500,다산동
1000036,2020,4,108,111,1114062500,다산동
1000037,2020,4,71,72,1114058000,장충동
1000038,2020,4,85,98,1114063500,약수동
1000039,2020,4,220,249,1114055000,명동
1000040,2020,4,162,177,1114060500,을지로동
1000041,2020,4,124,127,1114058000,장충동
1000042,2020,4,158,170,1114062500,다산동
1000043,2020,4,86,90,1114064500,청구동
1000044,2020,4,152,154,1114054000,회현동
1000045,2020,4,142,147,1114055000,명동
1000046,2020,4,137,147,1114058000,장충동
1000047,2020,4,162,167,1114058000,장충동
1000048,2020,4,158,164,1114054000,회현동
1000049,2020,4,175,179,1114065000,신당제5동
1000050,2020,4,31,32,1117069000,서빙고동
1000051,2020,4,162,168,1117065000,이태원제1동
1000052,2020,4,175,178,1117065000,이태원제1동
1000053,2020,4,127,131,1117066000,이태원제2동
1000054,2020,4,104,110,1117066000,이태원제2동
1000055,2020,4,103,107,1117068500,한남동
1000056,2020,4,113,125,1117053000,남영동
1000057,2020,4,190,206,1117058000,효창동
1000058,2020,4,140,155,1117056000,원효로제1동
1000059,2020,4,60,60,1117069000,서빙고동
1000060,2020,4,117,127,1117052000,용산2가동
1000061,2020,4,124,133,1117051000,후암동
1000062,2020,4,130,131,1117070000,보광동
1000063,2020,4,100,104,1117068500,한남동
1000064,2020,4,103,107,1117070000,보광동
1000065,2020,4,135,142,1117057000,원효로제2동
1000066,2020,4,119,125,1117057000,원효로제2동
1000067,2020,4,159,166,1117059000,용문동
1000068,2020,4,162,178,1117056000,원효로제1동
1000069,2020,4,101,108,1117064000,이촌제2동
1000070,2020,4,195,205,1117065000,이태원제1동
1000071,2020,4,323,332,1117068500,한남동
1000072,2020,4,104,113,1117070000,보광동
1000073,2020,4,369,446,1117055500,청파동
1000074,2020,4,55,58,1117055500,청파동
1000075,2020,4,114,122,1117055500,청파동
1000076,2020,4,77,89,1117055500,청파동
1000077,2020,4,194,219,1117053000,남영동
1000078,2020,4,118,123,1117062500,한강로동
1000079,2020,4,330,356,1117062500,한강로동
1000080,2020,4,200,208,1117062500,한강로동
1000081,2020,4,185,196,1117062500,한강로동
1000082,2020,4,105,110,1117062500,한강로동
1000083,2020,4,74,77,1117053000,남영동
1000084,2020,4,155,162,1117068500,한남동
1000085,2020,4,183,193,1117066000,이태원제2동
1000086,2020,4,120,133,1117059000,용문동
1000087,2020,4,109,119,1117051000,후암동
1000088,2020,4,136,155,1120056000,행당제1동
1000089,2020,4,44,44,1120061500,금호2.3가동
1000090,2020,4,96,102,1120061500,금호2.3가동
1000091,2020,4,187,197,1120065000,성수1가제1동
1000092,2020,4,122,131,1120067000,성수2가제1동
1000093,2020,4,98,103,1120054000,마장동
1000094,2020,4,166,174,1120054000,마장동
1000095,2020,4,77,78,1120054000,마장동
1000096,2020,4,65,78,1120055000,사근동
1000097,2020,4,89,98,1120064500,옥수동
1000098,2020,4,138,155,1120061500,금호2.3가동
1000099,2020,4,190,199,1120053500,왕십리도선동
1000100,2020,4,142,152,1120052000,왕십리제2동
1000101,2020,4,68,80,1120052000,왕십리제2동
1000102,2020,4,97,110,1120055000,사근동
1000103,2020,4,144,153,1120066000,성수1가제2동
1000104,2020,4,218,250,1120066000,성수1가제2동
1000105,2020,4,243,248,1120066000,성수1가제2동
1000106,2020,4,216,226,1120067000,성수2가제1동
1000107,2020,4,165,175,1120065000,성수1가제1동
1000108,2020,4,208,217,1120069000,성수2가제3동
1000109,2020,4,196,205,1120069000,성수2가제3동
1000110,2020,4,295,320,1120069000,성수2가제3동
1000111,2020,4,64,69,1120072000,송정동
1000112,2020,4,197,203,1120072000,송정동
1000113,2020,4,254,263,1120069000,성수2가제3동
1000114,2020,4,197,218,1120069000,성수2가제3동
1000115,2020,4,194,202,1120069000,성수2가제3동
1000116,2020,4,198,206,1120066000,성수1가제2동
1000117,2020,4,89,106,1120056000,행당제1동
1000118,2020,4,274,286,1120053500,왕십리도선동
1000119,2020,4,131,144,1120052000,왕십리제2동
1000120,2020,4,319,352,1120066000,성수1가제2동
1000121,2020,4,207,232,1120079000,용답동
1000122,2020,4,59,59,1120079000,용답동
1000123,2020,4,259,292,1120061500,금호2.3가동
1000124,2020,4,325,332,1120054000,마장동
1000125,2020,4,161,184,1120064500,옥수동
1000126,2020,4,103,107,1120064500,옥수동
1000127,2020,4,162,178,1121571000,화양동
1000128,2020,4,117,142,1121571000,화양동
1000129,2020,4,137,146,1121585000,구의제1동
1000130,2020,4,62,64,1121586000,구의제2동
1000131,2020,4,144,163,1121585000,구의제1동
1000132,2020,4,140,157,1121587000,구의제3동
1000133,2020,4,175,189,1121575000,중곡제2동
1000134,2020,4,205,221,1121574000,중곡제1동
1000135,2020,4,121,127,1121574000,중곡제1동
1000136,2020,4,228,245,1121576000,중곡제3동
1000137,2020,4,193,210,1121571000,화양동
1000138,2020,4,125,137,1121571000,화양동
1000139,2020,4,190,202,1121578000,능동
1000140,2020,4,151,162,1121584700,자양제4동
1000141,2020,4,117,131,1121584000,자양제3동
1000142,2020,4,211,222,1121584700,자양제4동
1000143,2020,4,76,85,1121571000,화양동
