사용본거지법정동명,동별 총 대수,휘발유,경유,LPG,전기,CNG,수소,기타연료,하이브리드,법정동코드,동리명
서울특별시 종로구 청운동,768,451,241,22,9,0,0,2,43,1111010100,청운동
서울특별시 종로구 신교동,362,200,116,25,3,0,1,0,17,1111010200,신교동
서울특별시 종로구 궁정동,40,21,12,2,0,0,0,0,5,1111010300,궁정동
서울특별시 종로구 효자동,185,107,63,4,1,0,0,0,10,1111010400,효자동
서울특별시 종로구 창성동,162,90,62,2,1,0,0,0,7,1111010500,창성동
서울특별시 종로구 통의동,126,66,44,7,0,0,1,0,8,1111010600,통의동
서울특별시 종로구 적선동,168,79,77,5,1,0,0,0,6,1111010700,적선동
서울특별시 종로구 통인동,190,112,55,13,0,0,0,0,10,1111010800,통인동
서울특별시 종로구 누상동,790,429,254,63,6,0,1,2,35,1111010900,누상동
서울특별시 종로구 누하동,219,99,94,15,1,0,0,0,10,1111011000,누하동
서울특별시 종로구 옥인동,591,329,181,30,7,0,1,18,25,1111011100,옥인동
서울특별시 종로구 체부동,158,84,54,12,0,0,0,0,8,1111011200,체부동
서울특별시 종로구 필운동,309,167,117,11,1,0,0,1,12,1111011300,필운동
서울특별시 종로구 내자동,3213,1227,1851,3,64,0,5,5,58,1111011400,내자동
서울특별시 종로구 사직동,1065,656,299,32,9,0,3,1,65,1111011500,사직동
서울특별시 종로구 도렴동,117,78,31,0,0,0,0,1,7,1111011600,도렴동
서울특별시 종로구 당주동,291,177,86,12,1,0,0,5,10,1111011700,당주동
서울특별시 종로구 내수동,1210,729,336,18,11,0,1,51,64,1111011800,내수동
서울특별시 종로구 세종로,384,187,146,1,14,0,13,0,23,1111011900,세종로
서울특별시 종로구 세종로,384,187,146,1,14,0,13,0,23,1111011900,세종로
서울특별시 종로구 세종로,384,187,146,1,14,0,13,0,23,1111011900,세종로
서울특별시 종로구 신문로1가,828,457,291,15,8,2,0,0,55,1111012000,신문로1가
서울특별시 종로구 신문로2가,499,207,239,15,14,0,0,0,24,1111012100,신문로2가
서울특별시 종로구 청진동,237,180,43,4,0,0,0,0,10,1111012200,청진동
서울특별시 종로구 서린동,318,114,176,9,4,0,2,1,12,1111012300,서린동
서울특별시 종로구 수송동,744,282,340,14,33,19,2,24,30,1111012400,수송동
서울특별시 종로구 중학동,70,39,24,0,0,0,0,0,7,1111012500,중학동
서울특별시 종로구 종로1가,287,130,133,15,0,0,0,0,9,1111012600,종로1가
서울특별시 종로구 공평동,146,105,29,0,3,0,1,0,8,1111012700,공평동
서울특별시 종로구 관훈동,165,77,74,5,1,0,1,2,5,1111012800,관훈동
서울특별시 종로구 견지동,231,139,71,6,0,0,0,0,15,1111012900,견지동
서울특별시 종로구 와룡동,87,38,41,3,1,0,0,0,4,1111013000,와룡동
서울특별시 종로구 와룡동,87,38,41,3,1,0,0,0,4,1111013000,와룡동
서울특별시 종로구 권농동,67,37,16,11,2,0,0,0,1,1111013100,권농동
서울특별시 종로구 운니동,155,56,90,4,1,0,0,0,4,1111013200,운니동
